UnitID,Control,State
211006,3,PA
448770,3,PA
365213,1,OK
372356,3,CO
497301,3,NV
474924,3,UT
104568,3,AZ
474915,3,AZ
457679,3,MN
442295,2,FL
446048,2,FL
173744,3,MN
458131,3,WA
159513,3,LA
160320,3,LA
159522,3,LA
448071,3,NY
455354,3,TX
451468,3,OH
457563,3,IN
487348,3,WA
461652,3,ID
455141,3,NC
455877,3,IL
455275,3,OH
459277,3,CO
475015,3,IA
469957,3,CA
487506,3,WI
162830,3,MD
461555,3,NM
484899,3,AZ
460862,3,OR
451574,3,UT
451149,3,FL
451158,3,FL
476753,3,AZ
142407,3,ID
491826,3,NM
458070,3,TX
494524,3,TX
219170,2,SD
219338,2,SD
231420,2,VA
449931,2,VA
158778,3,LA
448257,3,VA
440059,3,GA
494764,3,NC
441788,3,TX
486558,3,CA
227748,3,TX
438735,3,IN
441496,3,MO
482255,3,NV
445762,3,VA
427973,3,VA
457411,3,FL
250285,3,PA
187000,3,NJ
447847,3,FL
176628,2,MO
161800,3,MD
158246,3,LA
109785,2,CA
237145,2,WV
487898,3,SC
164580,2,MA
206817,2,OK
128586,2,NY
476601,2,MD
245777,2,NY
490513,2,NJ
495031,2,NY
449658,2,NJ
168847,2,MI
154688,2,KS
109819,1,CA
420705,2,TX
414489,3,TX
223056,3,TX
417105,1,CA
201195,2,OH
490212,1,CA
150136,1,IN
161864,1,MD
161855,3,MD
164599,3,MA
189015,2,NY
176664,2,MO
106546,2,AR
219639,2,TN
223083,3,TX
223117,2,TX
444398,2,TX
476610,3,NY
483346,3,PA
484048,3,TX
483054,3,PA
488022,3,SC
155070,2,KS
189088,2,NY
167792,2,MA
189097,2,NY
177719,2,MO
156277,3,KY
132471,2,FL
109907,1,CA
197911,2,NC
154697,1,KS
235547,2,WA
160977,2,ME
235671,1,WA
437103,1,LA
158325,2,LA
158343,3,LA
483878,3,CA
168883,1,MI
380359,1,MI
164632,2,MA
164641,3,MA
223223,2,TX
223232,2,TX
168892,3,MI
476717,2,NY
384254,2,FL
160995,3,ME
485166,3,OR
197966,1,NC
449357,1,CA
460969,3,FL
207272,3,OK
215336,3,PA
164720,2,MA
247065,3,KY
444413,2,NY
126359,3,CO
190956,2,NY
175421,2,MS
364760,3,IL
497091,3,MO
486309,3,WI
461193,3,PA
483559,3,TX
156286,2,KY
493567,3,FL
481571,3,CT
234669,1,WA
180814,2,NE
238324,2,WI
234696,1,WA
478953,3,KS
109934,3,CA
116563,3,CA
377722,3,CA
197984,2,NC
201283,1,OH
219709,2,TN
238333,2,WI
173124,1,MN
237172,1,WV
137591,3,FL
217721,2,SC
154712,2,KS
145619,2,IL
165884,2,MA
439473,3,DC
197993,2,NC
230816,2,VT
164739,2,MA
156295,2,KY
183743,1,NJ
461643,2,CA
189219,3,NY
125170,1,CA
189228,3,NY
183789,3,NJ
108861,2,CA
164748,2,MA
189255,3,NY
481021,1,PA
164775,1,MA
139144,2,GA
461865,3,NJ
485999,2,NY
189273,2,NY
183804,2,NJ
486196,2,NY
488314,2,NJ
154721,2,KS
237181,2,WV
486284,2,MN
173142,2,MN
143233,2,IN
154749,2,KS
262022,2,CA
219718,2,TN
150145,2,IN
173160,2,MN
110060,2,CA
486053,2,MN
132602,2,FL
139153,2,GA
475635,3,CA
102429,1,AL
443702,2,IL
457253,3,CA
484020,3,NC
234711,1,WA
137856,1,FL
157553,1,KY
196079,1,NY
110097,2,CA
100937,2,AL
442949,2,OR
442213,3,ME
102030,1,AL
200022,1,ND
457721,3,MT
236018,3,WA
224013,3,TX
143279,1,IL
219046,1,SD
106625,1,AR
143288,2,IL
180054,2,MT
238397,1,WI
457615,1,MA
198011,1,NC
366438,3,MD
447810,3,CA
373456,3,LA
143303,2,IL
143297,2,IL
223427,1,TX
183822,2,NJ
211158,1,PA
444440,3,AL
450128,3,LA
450119,3,AR
441502,3,MS
450021,3,LA
439491,3,LA
434821,3,LA
243799,1,MA
175430,2,MS
208275,1,OR
446774,1,WV
231536,1,VA
198039,1,NC
237215,1,WV
231554,2,VA
156392,1,KY
201371,2,OH
491482,3,CA
491446,2,NY
175999,1,MS
217749,2,SC
481483,3,FL
489238,3,FL
496690,3,IA
476850,3,ID
142090,2,ID
142115,1,ID
444316,3,MT
490203,2,MO
233356,2,VA
233480,2,VA
481456,3,UT
189413,2,NY
454759,3,CA
483948,3,LA
158431,1,LA
164872,2,MA
164614,2,MA
164924,2,MA
164915,2,MA
164988,2,MA
161004,2,ME
162007,1,MD
201432,1,OH
201441,1,OH
143358,2,IL
479992,3,CA
165015,2,MA
496894,3,CT
451042,3,CT
223506,1,TX
139199,2,GA
156356,2,KY
198066,2,NC
367875,1,FL
139205,2,GA
152992,2,IA
230010,1,UT
125082,3,CA
484932,1,WV
231581,2,VA
165024,1,MA
230038,2,UT
230047,2,HI
142522,2,ID
442976,2,KY
477002,3,MI
232450,1,VA
404718,2,TN
165033,1,MA
431187,1,CT
450304,2,TX
449311,3,NY
189468,3,NY
189404,3,NY
230056,3,UT
448424,3,OK
183859,1,NJ
444088,3,NM
104090,3,AZ
404055,3,AZ
438179,3,AZ
189501,2,NY
418010,1,NY
132709,1,FL
375568,1,OH
441645,3,OH
450395,3,OH
491695,3,AL
217156,2,RI
110194,3,CA
198084,1,NC
180878,2,NE
219790,2,TN
454458,3,AR
369516,3,MO
110219,3,AZ
188517,3,NY
189583,3,NY
189592,3,NY
480091,3,NY
201469,3,OH
189565,3,NY
231785,3,VA
451750,3,WI
217165,2,RI
210492,2,PA
211273,2,PA
201478,1,OH
383312,1,OH
211291,2,PA
461740,3,TX
211307,1,PA
211316,3,PA
153001,2,IA
490948,3,NC
165112,1,MA
496645,1,NJ
488554,3,NM
209409,2,OR
211334,3,PA
213330,3,PA
367431,3,PA
154800,1,KS
211343,1,PA
201496,1,OH
150163,2,IN
180063,3,MT
110246,1,CA
487773,1,CA
444103,2,PA
487968,2,IL
198109,2,NC
237242,1,WV
110334,1,CA
211352,2,PA
364946,1,OK
421665,3,MI
215114,2,PA
446084,3,IL
198118,1,NC
183910,2,NJ
433420,3,CA
494940,2,CA
110361,2,CA
486497,3,CA
110875,3,CA
447713,3,CA
481386,3,CA
262402,3,CA
110918,2,CA
492661,3,CA
488563,3,CA
110370,2,CA
485263,2,CA
478634,2,CA
474890,2,AZ
111054,3,CA
442985,3,CA
488572,3,CA
495271,2,CA
487649,2,CA
490285,3,CA
496186,3,CA
110316,2,CA
491507,3,CA
110404,2,CA
111081,2,CA
485546,3,CA
486488,2,CA
110413,2,CA
480781,3,CA
496627,3,CA
455734,3,CA
110422,1,CA
115755,1,CA
110529,1,CA
111188,1,CA
110486,1,CA
110501,1,CA
441937,1,CA
110538,1,CA
110547,1,CA
110574,1,CA
110556,1,CA
110565,1,CA
110583,1,CA
110592,1,CA
409698,1,CA
110608,1,CA
110617,1,CA
110510,1,CA
366711,1,CA
110495,1,CA
483443,3,CA
211361,1,PA
496043,2,CA
111391,2,CA
150172,2,IN
176789,2,MO
169099,2,MI
169080,2,MI
165167,2,MA
454865,3,FL
446109,3,FL
183938,1,NJ
143464,3,IL
230065,3,UT
206914,1,OK
198136,2,NC
156365,2,KY
111434,1,CA
365374,1,OK
189705,2,NY
200208,1,ND
401481,3,IL
143482,3,IL
143491,3,IL
143473,3,IL
201539,1,OH
165194,1,MA
431558,1,FL
198154,1,NC
176798,1,MO
413413,3,MN
461704,3,ME
367972,1,IL
129367,1,CT
201548,2,OH
365693,3,NE
162061,2,MD
143552,3,IL
457031,3,IL
153083,3,IA
154448,3,IA
153074,3,IA
189714,3,NY
407391,3,NJ
363077,3,NJ
407407,3,NJ
407425,3,NJ
377759,3,CA
455707,3,AL
238430,2,WI
111513,3,CA
107220,3,AR
418205,1,OH
444468,3,TN
446118,3,CA
417442,1,IL
181941,3,NV
454801,3,CA
433013,3,CA
490568,3,MI
454306,3,MI
446136,3,MI
455220,2,NY
420370,3,DC
246071,1,PA
493734,3,TX
448239,3,UT
491941,3,IN
206923,1,OK
143613,1,IL
173258,2,MN
211431,2,PA
451194,3,IA
169187,3,MI
211440,2,PA
199971,2,NC
461032,2,NC
460765,3,NC
198190,3,NC
